"ID","MonthlyIncome"
871,5634.96452781597
872,2692.2437464271
873,12206.7130254887
874,1896.55978597275
875,2511.37626227899
876,6004.33972786797
877,5491.78939777446
878,2003.73437310637
879,2592.65417601364
880,12575.5022716747
881,9615.41174900896
882,2377.47712710493
883,5812.75578230409
884,5582.6141304025
885,5972.70673890664
886,5905.71831806197
887,6105.48051139133
888,6037.94392639306
889,5310.00453203506
890,2726.44235247392
891,5783.2953356733
892,8728.93333272864
893,8777.98289624537
894,5476.4403434999
895,9666.43624896577
896,9107.67130039398
897,8666.83474860307
898,15759.8697715689
899,6119.85542945683
900,2769.01865821528
901,2500.00076851311
902,5830.71549255911
903,6439.75734266192
904,2555.45146505602
905,16356.6628665266
906,5522.18907311989
907,9274.91686817515
908,6082.01912917009
909,2323.69995740499
910,2515.94293531897
911,19070.1312377907
912,2584.45110612639
913,2511.37626227899
914,13109.2079091311
915,6114.71883818124
916,5223.52765332396
917,2486.54406020456
918,5768.68057952706
919,2293.1350006139
920,2597.85314099008
921,2575.60959862462
922,2246.9250456168
923,5383.47860992651
924,5277.57831559181
925,16712.5653226396
926,2659.95172511566
927,5972.70673890664
928,13298.2011942242
929,1854.15811003869
930,2418.43457944819
931,5800.31581721368
932,12955.5482934874
933,8756.6586810001
934,2149.0090020463
935,2246.9250456168
936,2193.08420482333
937,9137.5338156414
938,9120.6566499093
939,6065.52317912754
940,2427.03413578796
941,2880.32773900081
942,8915.18286531616
943,9664.46131252569
944,5938.41802707312
945,2382.95893301092
946,5699.03804838162
947,2443.38399029353
948,2470.19420569898
949,2628.52630890342
950,5714.83973873359
951,2435.00325307681
952,5999.00531489161
953,5956.90504855466
954,2281.23461037739
955,4990.71167434839
956,8276.3228553123
957,10144.1519517974
958,2365.283916571
959,9241.48591154743
960,19943.8073880187
961,2752.66880370971
962,5717.89591765099
963,6007.56446782083
964,5807.54522024072
965,2592.71784710716
966,19458.9801574714
967,2692.2437464271
968,8903.80737155029
969,16317.4983533957
970,2423.22585672492
971,5840.48113057555
972,6175.85429015334
973,2237.15940760036
974,2515.94293531897
975,5998.84308435573
976,2648.16854365007
977,6474.43198811315
978,2736.31894920413
979,9210.49803361065
980,18992.0393457834
981,2578.91043252136
982,8993.38454939083
983,2500.00076851311
984,2603.33494689608
985,5884.55633335258
986,2638.40290563363
987,2329.87648619441
988,5840.48113057555
989,9285.58196725154
990,2636.79304988419
991,5802.57085950102
992,2692.2437464271
993,5823.8950747463
994,5566.26427589692
995,5419.98884672598
996,5993.72262807905
997,2418.02689174848
998,16658.6783608723
999,8844.80908655416
1000,2113.02591044275
1001,5800.89733265806
1002,5201.22043986498
1003,5712.92155691129
1004,6610.92156249446
1005,3027.06874185129
1006,5928.63153612961
1007,2503.80904757614
1008,6061.4053086143
1009,19189.6643721368
1010,5671.38879405404
1011,9076.58144713226
1012,5784.72210795977
1013,6284.78074679908
1014,5285.56256635601
1015,5742.56508700505
1016,2555.45146505602
1017,2758.05085214912
1018,8756.6586810001
1019,8959.2580680932
1020,2079.10079696383
1021,5977.68109964634
1022,5447.71419499743
1023,5597.04580308577
1024,9192.36733018355
1025,16048.3195305503
1026,18527.4718591568
1027,5642.61990289848
1028,5768.68057952706
1029,5740.95523125561
1030,9120.39959565855
1031,5724.60537675003
1032,2902.74316358205
1033,12797.0241091713
1034,2532.29278982455
1035,5078.86207990245
1036,2532.29278982455
1037,5678.85664713004
1038,8833.19739146461
1039,12695.8246830084
1040,6105.48051139133
1041,2297.58446488297
1042,2736.31894920413
1043,8805.70824451683
1044,6390.70777914519
1045,2315.82666535456
1046,2060.85859649224
1047,6054.29378089864
1048,12884.0406179692
1049,2938.91833629723
1050,5873.1808395867
1051,10028.2761979719
1052,2385.73487043703
1053,5956.90504855466
1054,2769.01865821528
1055,2566.60235458514
1056,2467.30105950196
1057,5840.50198350262
1058,16046.4629202444
1059,6132.42149418551
1060,2736.31894920413
1061,5727.5978845739
1062,6054.4768643616
1063,6010.86530171757
1064,2381.28540616796
1065,5756.78877859024
1066,2423.22585672492
1067,3353.37178808256
1068,19612.639773115
1069,5566.26427589692
1070,2591.9594531302
1071,2603.33494689608
1072,6351.44470657198
1073,2503.80904757614
1074,6061.4053086143
1075,5796.40592779851
1076,16539.8120999847
1077,19189.6643721368
1078,5427.55381270354
1079,5811.02068394475
1080,5907.18207827443
1081,2857.16906376934
1082,2664.51839815564
1083,2257.31754116897
1084,6291.18187982525
1085,8650.50574702457
1086,8893.79497897736
1087,5796.40592779851
1088,2736.31894920413
1089,2736.31894920413
1090,5861.80534582082
1091,5856.83098508112
1092,5846.26508160097
1093,12655.0328628238
1094,5856.83098508112
1095,5492.33756192806
1096,6147.4185471924
1097,3221.14617975147
1098,2540.37590334936
1099,2555.45146505602
1100,6170.16953472415
1101,19051.0376307795
1102,5900.90618785815
1103,5826.61439319865
1104,9858.53875042587
1105,2824.46935475819
1106,2654.75276013921
1107,2966.64368456868
1108,5670.34525116993
1109,5654.41468145098
1110,5796.40592779851
1111,5905.36424142691
1112,13027.4586366032
1113,13185.9828209193
1114,6155.5917665039
1115,9552.43455675051
1116,2752.85188717267
1117,6522.7711569404
1118,5149.23585866446
1119,9446.06023508061
1120,2735.56055522717
1121,9230.11041778156
1122,15890.421853057
1123,5507.40495415171
1124,15817.1945297221
1125,2560.01813809601
1126,2107.06855148934
1127,2297.58446488297
1128,5265.92932925803
1129,16164.0122009129
1130,2395.50050845347
1131,12643.6573690579
1132,16365.1848157195
1133,6077.75516311988
1134,2108.23463316601
1135,2509.70273543602
1136,2483.65091400753
1137,2818.22915487524
1138,5802.99014428765
1139,9146.9343729672
1140,15765.5520570093
1141,6025.60530047371
1142,6038.10615692894
1143,9643.68526143401
1144,5708.25552224445
1145,5660.57961315349
1146,5884.55633335258
1147,5267.60285610099
1148,2411.85036295905
1149,2620.44319537861
1150,6252.62920194152
1151,2462.10209452551
1152,5564.59074905396
1153,5951.25728105146
1154,2246.9250456168
1155,6516.37002391422
1156,12114.1364233486
1157,2603.33494689608
1158,5783.04858111681
1159,2680.86825266122
1160,5904.044791219
1161,2736.31894920413
1162,8954.12147681761
1163,2550.66018777928
1164,9058.62173687725
1165,2654.75276013921
1166,2003.73437310637
1167,9051.25747169759
1168,5861.80534582082
1169,2736.31894920413
1170,2840.81920926377
